id;scenario_id;region;year;input_energy_vector;output_energy_vector;technology;technology_type;parameter_name;value;unit;tags;method;source;comment
22;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;air;electricity;wind turbine;onshore;fixed costs;23280;€/MW/a;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p224
23;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;air;electricity;wind turbine;onshore;lifetime;25.4;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p224
24;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH"",""North"",""Baltic""]";2016;air;electricity;wind turbine;offshore;capital costs;2714000;€/MW;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p245
25;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH"",""North"",""Baltic""]";2016;air;electricity;wind turbine;offshore;fixed costs;53851.8;€/MW/a;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p245
26;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH"",""North"",""Baltic""]";2016;air;electricity;wind turbine;offshore;lifetime;25.4;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p245
27;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;battery;variable costs;2.08;€/MWh;;"{""value"": ""Interpolation 2015-2020""}";DEA2020ES;p181
28;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;battery;fixed costs;540;€/MW/a;;"{""value"": ""Interpolation 2015-2020""}";DEA2020ES;p181
29;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;battery;capital costs;1132341.105;€/MWh;;"{""value"": ""Interpolation 2015-2020""}";Schmidt2017;
30;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;battery;lifetime;16;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020ES;p181
31;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;battery;input ratio;0.98;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020ES;p181
32;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;battery;output ratio;0.97;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020ES;p181
33;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;pumped;variable costs;0;€/MWh;;"{""value"": ""Interpolation 2015-2020""}";DEA2020ES;p123
